index,x,y,z,type
244,70084.16,82580.75,9966.02,0
245,4818.61,79192.34,6102.69,0
246,75671.41,84853.05,753.62,1
247,76993.36,76037.26,2215.12,1
248,29474.78,34659.3,2282.45,1
249,69462.28,42514.45,8911.83,0
250,49453.64,35125.89,4595.6,1
251,20323.57,46498.18,4933.68,0
252,7816.31,42356.16,3036.62,0
253,61465.99,30403.12,9687.7,1
254,84765.33,92537.8,9649.01,1
255,41660.02,67979.1,5481.76,0
256,3010.44,72303.21,2789.5,1
257,12147.78,89030.79,1998.83,1
258,44498.04,39082.77,429.44,0
259,3803.03,71867.43,5767.09,0
260,81.17,57233.96,9167.57,1
261,47832.01,18059.31,1702.05,0
262,65305.81,29357.58,7090.9,0
263,93846.36,32330.95,1659.1,0
264,1909.73,38390.74,9218.74,0
265,55300.95,5643.42,6318.63,1
266,12661.36,36676.62,5895.19,1
267,37818.76,65391.55,834.13,0
268,42839.38,28758.76,7423.94,0
269,63434.17,68682.19,868.74,0
270,18982.92,37086.42,4984.29,0
271,9721.97,66412.88,2487.87,0
272,98083.66,40558.43,2705.92,1
273,47247.55,28496.01,4978.04,1
274,72027.39,41299.28,9027.04,1
275,1749.47,54054.88,8617.47,1
276,77111.44,30904.41,9628.08,1
277,35437.38,85409.32,2802.26,0
278,27326.01,7232.09,7152.02,1
279,81849.21,59133.23,2658.19,0
280,15426.51,79050.53,6342.56,0
281,28778.8,15253.38,8331.88,1
282,87547.1,54849.05,4567.32,1
283,10973.22,98994.3,4207.15,0
284,84700.79,32370.88,2831.13,1
285,1298.38,3794.94,4224.18,1
286,84894.78,5551.6,6532.94,0
287,85208.25,69275.43,851.01,1
288,5765.45,64775.03,4847.7,1
289,67298.4,80013.02,869.91,1
290,18177.86,65412.14,834.63,1
291,89731.24,62637.81,9281.63,1
292,93218.47,76188.67,4665.56,1
293,47540.66,86054.07,4892.78,0
294,92085.06,94335.34,8152.86,1
295,70985.64,92800.41,7920.14,1
296,42780.27,34071.24,2442.21,0
297,98094.42,19263.68,6257.75,0
298,49331.58,17977.19,823.5,1
299,18132.23,99533.36,8933.13,0
300,60508.68,17501.77,6842.43,1
301,80155.73,62811.07,5511.12,1
302,89408.07,59205.25,7790.32,1
303,70381.44,99742.62,2114,0
304,41317.47,28859.28,2290.05,0
305,38934.35,57664.73,4792.31,0
306,9281.76,68944.42,6651.17,0
307,8358.5,86153.95,3360.28,1
308,26864.86,83999.4,4965.1,1
309,33371.04,59710.97,5490.94,1
310,24978.35,86396.06,7091.38,1
311,82748.45,79465.11,3775.65,1
312,97367.79,99555.14,5738.22,1
313,79576.69,81342.2,1308.51,0
314,51362.09,56648.11,3016.93,0
315,76104.91,7039.34,9484.91,1
316,67581.97,26708.67,6763.69,0
317,77444.32,9179.86,6107.78,1
318,51957.21,79425.64,2611.08,0
319,62628.01,37415.7,9606.73,0
320,55126.58,86886.78,684.13,0
321,73644.23,53348.91,5213.06,1
322,7946.31,39584.64,5737.07,1
323,78846.7,73662.65,3906.98,1
324,63645.56,71435.22,6263.13,0
325,19134.86,85017.87,2434.51,0
326,100000,74860.55,5499.61,4
